t,i,q
-1.7316,-0.7541825,2.360406
-1.7312,-0.7537924,2.3608564
-1.7308,-0.7537924,2.3611101
-1.7304,-0.7542867,2.3585576
-1.73,-0.7794668,2.2722941
-1.7296,-0.7868294,2.2385057
-1.7292,-0.7893389,2.2432998
-1.7288,-0.7896749,2.2441478
-1.7284,-0.7896749,2.2442584
-1.728,-0.7894394,2.2449826
-1.7276,-0.789984,2.2445115
-1.7272,-0.7895449,2.2445115
-1.7268,-0.7894601,2.2445322
-1.7264,-0.789528,2.2447471
-1.726,-0.7892038,2.2445115
-1.7256,-0.7893678,2.2443476
-1.7252,-0.8101314,2.2701005
-1.7248,-0.953287,2.4942993
-1.7244,-0.9157064,2.4383822
-1.724,-0.9160851,2.441267
-1.7236,-0.916766,2.4424148
-1.7232,-0.917109,2.4425052
-1.7228,-0.9166894,2.4426384
-1.7224,-0.9165594,2.4427684
-1.722,-0.9165594,2.4420963
-1.7216,-0.9167949,2.4425461
-1.7212,-0.9166555,2.4424431
-1.7208,-0.9171391,2.4420134
-1.7204,-0.9173445,2.4422188
-1.72,-0.9172974,2.4422188
-1.7196,-0.917109,2.4420454
-1.7192,-0.8890391,2.3511146
-1.7188,-0.8804751,2.3237978
-1.7184,-0.8819796,2.3278507
-1.718,-0.8821027,2.3282113
-1.7176,-0.8825022,2.3282113
-1.7172,-0.8821913,2.3282113
-1.7168,-0.8822836,2.3289179
-1.7164,-0.8819388,2.3289179
-1.716,-0.8821687,2.3289179
-1.7156,-0.8819557,2.3289933
-1.7152,-0.8820198,2.3295542
-1.7148,-0.8824042,2.3296635
-1.7144,-0.8797511,2.3062525
-1.714,-0.8679821,2.2145996
-1.7136,-0.8693313,2.2146672
-1.7132,-0.8701504,2.2172804
-1.7128,-0.8703125,2.2176585
-1.7124,-0.8702221,2.2173444
-1.712,-0.870077,2.2171277
-1.7116,-0.8702051,2.2172163
-1.7112,-0.8703106,2.2173444
-1.7108,-0.8703125,2.2176585
-1.7104,-0.870077,2.2173294
-1.71,-0.8699356,2.21758
-1.7096,-0.8706266,2.2175204
-1.7092,-0.8754806,2.1577415
-1.7088,-0.8773652,2.1026251
-1.7084,-0.8800411,2.1081352
-1.708,-0.8805889,2.1096183
-1.7076,-0.880619,2.1091698
-1.7072,-0.880636,2.1097012
-1.7068,-0.8803364,2.1098539
-1.7064,-0.8803628,2.1102251
-1.706,-0.8806643,2.1100894
-1.7056,-0.8805185,2.1102043
-1.7052,-0.8806668,2.1108746
-1.7048,-0.8803628,2.1106962
-1.7044,-0.8804156,2.1121536
-1.704,-0.8862041,2.0993213
-1.7036,-0.908923,2.0063822
-1.7032,-0.9126642,2.0076389
-1.7028,-0.9133986,2.0087433
-1.7024,-0.913391,2.0085662
-1.702,-0.9133245,2.0085662
-1.7016,-0.9134626,2.0085662
-1.7012,-0.9133401,2.0088017
