t, i, q
-2.180100E+00,+84.925E-03,-24.623E-03
-2.177600E+00,+86.432E-03,-24.121E-03
-2.175100E+00,+84.925E-03,-21.608E-03
-2.172600E+00,+85.427E-03,-20.101E-03
-2.170100E+00,+84.925E-03,-18.593E-03
-2.167600E+00,+84.422E-03,-16.080E-03
-2.165100E+00,+84.422E-03,-15.578E-03
-2.162600E+00,+86.432E-03,-14.070E-03
-2.160100E+00,+84.422E-03,-10.553E-03
-2.157600E+00,+84.422E-03,-12.060E-03
-2.155100E+00,+84.422E-03,-12.563E-03
-2.152600E+00,+82.412E-03,-5.025E-03
-2.150100E+00,+82.412E-03,-6.533E-03
-2.147600E+00,+82.412E-03,-6.030E-03
-2.145100E+00,+82.412E-03,+503E-06
-2.142600E+00,+82.412E-03,-4.020E-03
-2.140100E+00,+80.402E-03,+3.518E-03
-2.137600E+00,+84.422E-03,+0.0E+00
-2.135100E+00,+81.910E-03,+2.010E-03
-2.132600E+00,+80.402E-03,+5.025E-03
-2.130100E+00,+80.402E-03,+7.538E-03
-2.127600E+00,+80.402E-03,+6.030E-03
-2.125100E+00,+78.392E-03,+9.045E-03
-2.122600E+00,+78.392E-03,+8.040E-03
-2.120100E+00,+79.899E-03,+9.548E-03
-2.117600E+00,+76.382E-03,+12.060E-03
-2.115100E+00,+76.382E-03,+13.568E-03
-2.112600E+00,+74.372E-03,+18.090E-03
-2.110100E+00,+72.864E-03,+17.588E-03
-2.107600E+00,+74.372E-03,+18.090E-03
-2.105100E+00,+71.859E-03,+22.111E-03
-2.102600E+00,+71.357E-03,+20.101E-03
-2.100100E+00,+72.362E-03,+23.618E-03
-2.097600E+00,+68.342E-03,+24.121E-03
-2.095100E+00,+66.332E-03,+27.136E-03
-2.092600E+00,+68.342E-03,+25.126E-03
-2.090100E+00,+64.824E-03,+28.141E-03
-2.087600E+00,+66.332E-03,+28.141E-03
-2.085100E+00,+65.829E-03,+28.141E-03
-2.082600E+00,+60.302E-03,+29.146E-03
-2.080100E+00,+62.312E-03,+30.151E-03
-2.077600E+00,+58.291E-03,+36.181E-03
-2.075100E+00,+60.302E-03,+32.161E-03
-2.072600E+00,+57.286E-03,+33.166E-03
-2.070100E+00,+53.769E-03,+34.673E-03
-2.067600E+00,+54.271E-03,+36.181E-03
-2.065100E+00,+52.261E-03,+36.181E-03
-2.062600E+00,+50.251E-03,+38.191E-03
-2.060100E+00,+50.251E-03,+38.191E-03
-2.057600E+00,+52.261E-03,+38.191E-03
-2.055100E+00,+46.734E-03,+39.698E-03
-2.052600E+00,+48.241E-03,+38.191E-03
-2.050100E+00,+48.241E-03,+40.201E-03
-2.047600E+00,+46.231E-03,+40.201E-03
-2.045100E+00,+44.724E-03,+40.704E-03
-2.042600E+00,+39.196E-03,+41.206E-03
-2.040100E+00,+38.191E-03,+40.704E-03
-2.037600E+00,+40.201E-03,+42.211E-03
-2.035100E+00,+36.181E-03,+42.211E-03
-2.032600E+00,+36.181E-03,+42.211E-03
-2.030100E+00,+34.673E-03,+40.201E-03
-2.027600E+00,+32.161E-03,+44.221E-03
-2.025100E+00,+28.643E-03,+43.216E-03
-2.022600E+00,+31.156E-03,+44.221E-03
-2.020100E+00,+26.131E-03,+42.714E-03
-2.017600E+00,+26.131E-03,+42.211E-03
-2.015100E+00,+22.111E-03,+43.719E-03
-2.012600E+00,+24.121E-03,+42.211E-03
-2.010100E+00,+19.095E-03,+43.719E-03
-2.007600E+00,+18.090E-03,+42.211E-03
-2.005100E+00,+18.593E-03,+42.211E-03
-2.002600E+00,+16.080E-03,+44.221E-03
-2.000100E+00,+13.568E-03,+42.211E-03
-1.997600E+00,+14.070E-03,+42.211E-03
-1.995100E+00,+14.573E-03,+43.719E-03
-1.992600E+00,+10.050E-03,+43.216E-03
-1.990100E+00,+9.548E-03,+41.709E-03
-1.987600E+00,+10.050E-03,+40.201E-03
-1.985100E+00,+7.538E-03,+38.693E-03
-1.982600E+00,+6.030E-03,+39.196E-03
-1.980100E+00,+3.518E-03,+38.693E-03
-1.977600E+00,+0.0E+00,+40.201E-03
-1.975100E+00,+4.020E-03,+39.698E-03
-1.972600E+00,-1.005E-03,+38.191E-03
-1.970100E+00,-1.005E-03,+38.191E-03
-1.967600E+00,-4.020E-03,+36.181E-03
-1.965100E+00,-3.518E-03,+36.181E-03
-1.962600E+00,-6.030E-03,+36.181E-03
-1.960100E+00,-2.513E-03,+35.176E-03
-1.957600E+00,-8.040E-03,+34.171E-03
-1.955100E+00,-6.533E-03,+31.156E-03
-1.952600E+00,-8.040E-03,+34.171E-03
-1.950100E+00,-10.553E-03,+31.658E-03
-1.947600E+00,-12.060E-03,+30.151E-03
-1.945100E+00,-14.070E-03,+27.638E-03
-1.942600E+00,-16.080E-03,+29.146E-03
-1.940100E+00,-14.070E-03,+27.638E-03
-1.937600E+00,-18.090E-03,+24.121E-03
-1.935100E+00,-17.588E-03,+24.121E-03
-1.932600E+00,-18.090E-03,+26.131E-03
-1.930100E+00,-21.608E-03,+20.603E-03
-1.927600E+00,-20.101E-03,+22.111E-03
-1.925100E+00,-20.603E-03,+19.598E-03
-1.922600E+00,-23.116E-03,+20.101E-03
-1.920100E+00,-23.116E-03,+18.593E-03
-1.917600E+00,-26.131E-03,+18.090E-03
-1.915100E+00,-23.618E-03,+16.080E-03
-1.912600E+00,-24.121E-03,+14.070E-03
-1.910100E+00,-28.141E-03,+12.060E-03
-1.907600E+00,-28.141E-03,+12.060E-03
-1.905100E+00,-26.633E-03,+13.568E-03
-1.902600E+00,-30.151E-03,+8.040E-03
-1.900100E+00,-28.141E-03,+7.538E-03
-1.897600E+00,-32.161E-03,+6.030E-03
-1.895100E+00,-32.663E-03,+4.020E-03
-1.892600E+00,-32.161E-03,+4.020E-03
-1.890100E+00,-30.653E-03,+6.030E-03
-1.887600E+00,-32.161E-03,+2.010E-03
-1.885100E+00,-32.161E-03,+2.010E-03
-1.882600E+00,-34.171E-03,-3.015E-03
-1.880100E+00,-34.171E-03,-5.528E-03
-1.877600E+00,-36.181E-03,-2.010E-03
-1.875100E+00,-37.688E-03,-8.040E-03
-1.872600E+00,-36.181E-03,-7.035E-03
-1.870100E+00,-35.678E-03,-6.533E-03
-1.867600E+00,-38.191E-03,-12.060E-03
-1.865100E+00,-37.688E-03,-11.558E-03
-1.862600E+00,-37.186E-03,-11.055E-03
-1.860100E+00,-36.181E-03,-14.573E-03
-1.857600E+00,-38.191E-03,-16.080E-03
-1.855100E+00,-36.181E-03,-16.583E-03
-1.852600E+00,-29.146E-03,+14.070E-03
-1.850100E+00,-28.643E-03,+14.070E-03
-1.847600E+00,-32.161E-03,+12.060E-03
-1.845100E+00,-30.653E-03,+8.040E-03
-1.842600E+00,-33.166E-03,+8.040E-03
-1.840100E+00,-34.673E-03,+3.518E-03
-1.837600E+00,-34.171E-03,+6.030E-03
-1.835100E+00,-34.171E-03,+4.020E-03
-1.832600E+00,-36.181E-03,-1.005E-03
-1.830100E+00,-33.166E-03,-2.010E-03
-1.827600E+00,-34.171E-03,+2.010E-03
