#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase 
162,103.4,0.2000,-0.03,-0.29
163,104.9,0.2000,-0.03,-0.29
164,106.4,0.2000,-0.03,-0.33
165,108.0,0.2000,-0.03,-0.29
166,109.6,0.2000,-0.03,-0.29
167,111.2,0.2000,-0.02,-0.29
168,112.8,0.2000,-0.03,-0.29
169,114.4,0.2000,-0.04,-0.29
170,116.1,0.2000,-0.03,-0.29
171,117.8,0.2000,-0.03,-0.29
172,119.5,0.2000,-0.03,-0.29
173,121.3,0.2000,-0.04,-0.29
174,123.0,0.2000,-0.04,-0.29
175,124.8,0.2000,-0.02,-0.29
176,126.7,0.2000,-0.02,-0.29
177,128.5,0.2000,-0.02,-0.29
178,130.4,0.2000,-0.02,-0.29
179,132.3,0.2000,-0.03,-0.25
180,134.2,0.2000,-0.03,-0.23
181,136.2,0.2000,-0.02,-0.29
182,138.2,0.2000,-0.02,-0.27
183,140.2,0.2000,-0.03,-0.30
184,142.3,0.2000,-0.02,-0.29
185,144.3,0.2000,-0.03,-0.29
186,146.5,0.2000,-0.04,-0.27
187,148.6,0.2000,-0.03,-0.29
188,150.8,0.2000,-0.02,-0.29
189,153.0,0.2000,-0.03,-0.29
190,155.2,0.2000,-0.02,-0.29
191,157.5,0.2000,-0.03,-0.29
192,159.8,0.2000,-0.03,-0.35
193,162.1,0.2000,-0.03,-0.29
194,164.5,0.2000,-0.02,-0.29
195,166.9,0.2000,-0.04,-0.29
196,169.3,0.2000,-0.03,-0.33
197,171.8,0.2000,-0.03,-0.30
198,174.3,0.2000,-0.03,-0.34
199,176.8,0.2000,-0.03,-0.29
200,179.4,0.2000,-0.02,-0.34
201,182.1,0.2000,-0.02,-0.29
202,184.7,0.2000,-0.02,-0.29
203,187.4,0.2000,-0.02,-0.29
204,190.2,0.2000,-0.02,-0.30
205,192.9,0.2000,-0.02,-0.35
206,195.8,0.2000,-0.03,-0.35
207,198.6,0.2000,-0.02,-0.39
208,201.5,0.2000,-0.02,-0.35
209,204.5,0.2000,-0.02,-0.34
210,207.5,0.2000,-0.03,-0.34
211,210.5,0.2000,-0.03,-0.39
212,213.6,0.2000,-0.03,-0.34
213,216.7,0.2000,-0.03,-0.34
214,219.8,0.2000,-0.03,-0.34
215,223.1,0.2000,-0.02,-0.40
216,226.3,0.2000,-0.02,-0.40
217,229.6,0.2000,-0.02,-0.40
218,233.0,0.2000,-0.02,-0.40
219,236.4,0.2000,-0.03,-0.41
220,239.8,0.2000,-0.03,-0.40
221,243.3,0.2000,-0.03,-0.44
222,246.9,0.2000,-0.02,-0.44
223,250.5,0.2000,-0.03,-0.41
224,254.2,0.2000,-0.02,-0.40
225,257.9,0.2000,-0.02,-0.45
226,261.7,0.2000,-0.03,-0.45
227,265.5,0.2000,-0.02,-0.46
228,269.4,0.2000,-0.02,-0.45
229,273.3,0.2000,-0.02,-0.45
230,277.3,0.2000,-0.02,-0.45
231,281.3,0.2000,-0.03,-0.45
232,285.5,0.2000,-0.02,-0.45
233,289.6,0.2000,-0.03,-0.51
234,293.9,0.2000,-0.03,-0.52
235,298.2,0.2000,-0.02,-0.51
236,302.5,0.2000,-0.03,-0.52
237,306.9,0.2000,-0.03,-0.51
238,311.4,0.2000,-0.02,-0.51
239,316.0,0.2000,-0.02,-0.52
240,320.6,0.2000,-0.03,-0.53
241,325.3,0.2000,-0.02,-0.53
242,330.0,0.2000,-0.03,-0.53
243,334.8,0.2000,-0.02,-0.57
244,339.7,0.2000,-0.04,-0.57
245,344.7,0.2000,-0.02,-0.57
246,349.7,0.2000,-0.03,-0.58
247,354.9,0.2000,-0.02,-0.59
248,360.0,0.2000,-0.03,-0.64
249,365.3,0.2000,-0.03,-0.63
250,370.6,0.2000,-0.03,-0.63
251,376.1,0.2000,-0.03,-0.64
252,381.6,0.2000,-0.03,-0.64
253,387.1,0.2000,-0.03,-0.64
254,392.8,0.2000,-0.03,-0.69
255,398.5,0.2000,-0.03,-0.67
256,404.4,0.2000,-0.02,-0.73
257,410.3,0.2000,-0.03,-0.70
258,416.3,0.2000,-0.03,-0.69
259,422.3,0.2000,-0.02,-0.70
260,428.5,0.2000,-0.02,-0.75
261,434.8,0.2000,-0.02,-0.74
262,441.1,0.2000,-0.02,-0.75
263,447.6,0.2000,-0.03,-0.74
264,454.1,0.2000,-0.02,-0.74
265,460.8,0.2000,-0.03,-0.80
266,467.5,0.2000,-0.03,-0.80
267,474.3,0.2000,-0.03,-0.80
268,481.3,0.2000,-0.03,-0.82
269,488.3,0.2000,-0.02,-0.84
270,495.4,0.2000,-0.02,-0.86
271,502.7,0.2000,-0.02,-0.86
272,510.0,0.2000,-0.02,-0.87
273,517.5,0.2000,-0.02,-0.86
274,525.0,0.2000,-0.02,-0.86
275,532.7,0.2000,-0.02,-0.92
276,540.5,0.2000,-0.02,-0.90
277,548.4,0.2000,-0.02,-0.96
278,556.4,0.2000,-0.02,-0.91
279,564.5,0.2000,-0.03,-0.93
280,572.8,0.2000,-0.03,-0.97
281,581.2,0.2000,-0.03,-0.98
282,589.6,0.2000,-0.03,-1.03
283,598.3,0.2000,-0.03,-1.03
284,607.0,0.2000,-0.03,-1.03
285,615.9,0.2000,-0.03,-1.03
286,624.9,0.2000,-0.03,-1.09
287,634.0,0.2000,-0.03,-1.09
288,643.3,0.2000,-0.03,-1.13
289,652.7,0.2000,-0.03,-1.15
290,662.2,0.2000,-0.03,-1.14
291,671.9,0.2000,-0.03,-1.14
292,681.7,0.2000,-0.03,-1.16
293,691.7,0.2000,-0.03,-1.14
294,701.8,0.2000,-0.03,-1.25
295,712.0,0.2000,-0.02,-1.20
296,722.4,0.2000,-0.03,-1.22
297,733.0,0.2000,-0.02,-1.26
298,743.7,0.2000,-0.02,-1.26
299,754.6,0.2000,-0.02,-1.26
300,765.6,0.2000,-0.03,-1.32
301,776.8,0.2000,-0.02,-1.32
302,788.2,0.2000,-0.03,-1.33
303,799.7,0.2000,-0.03,-1.37
304,811.4,0.2000,-0.02,-1.41
305,823.2,0.2000,-0.03,-1.41
306,835.2,0.2000,-0.03,-1.44
307,847.5,0.2000,-0.03,-1.48
308,859.8,0.2000,-0.03,-1.44
309,872.4,0.2000,-0.03,-1.49
310,885.2,0.2000,-0.03,-1.55
311,898.1,0.2000,-0.03,-1.55
312,911.2,0.2000,-0.03,-1.55
313,924.5,0.2000,-0.03,-1.60
314,938.0,0.2000,-0.03,-1.60
315,951.8,0.2000,-0.03,-1.64
316,965.7,0.2000,-0.03,-1.66
317,979.8,0.2000,-0.03,-1.71
318,994.1,0.2000,-0.03,-1.71
319,1008.6,0.2000,-0.03,-1.71
320,1023.4,0.2000,-0.03,-1.73
321,1038.3,0.2000,-0.02,-1.79
322,1053.5,0.2000,-0.03,-1.78
323,1068.9,0.2000,-0.03,-1.88
